,ecg,eda,acc
600,0.0,1018.0,67.0
601,0.0,233.0,67.0
602,0.0,0.0,67.0
603,0.0,0.0,67.0
604,0.0,0.0,67.0
605,1.0,1018.0,66.0
606,0.0,1018.0,68.0
607,0.0,1018.0,66.0
608,0.0,1.0,67.0
609,0.0,1018.0,68.0
610,0.0,0.0,67.0
611,0.0,0.0,67.0
612,0.0,0.0,67.0
613,0.0,0.0,67.0
614,0.0,0.0,67.0
615,0.0,0.0,67.0
616,0.0,0.0,67.0
617,0.0,1018.0,67.0
618,0.0,0.0,67.0
619,0.0,1018.0,68.0
620,0.0,1018.0,68.0
621,0.0,1018.0,68.0
622,0.0,0.0,67.0
623,0.0,1018.0,68.0
624,0.0,215.0,67.0
625,0.0,0.0,67.0
626,0.0,0.0,67.0
627,0.0,0.0,65.0
628,0.0,0.0,67.0
629,0.0,0.0,67.0
630,0.0,0.0,67.0
631,0.0,0.0,67.0
632,0.0,0.0,67.0
633,0.0,1018.0,67.0
634,0.0,0.0,67.0
635,0.0,1018.0,68.0
636,0.0,1018.0,68.0
637,0.0,1018.0,68.0
638,0.0,628.0,68.0
639,0.0,1018.0,68.0
640,0.0,0.0,68.0
641,0.0,0.0,68.0
642,0.0,0.0,69.0
643,0.0,0.0,69.0
644,0.0,0.0,69.0
645,0.0,0.0,69.0
646,0.0,0.0,68.0
647,0.0,0.0,66.0
648,0.0,0.0,68.0
649,0.0,629.0,69.0
650,0.0,0.0,68.0
651,0.0,1018.0,69.0
652,0.0,52.0,68.0
653,0.0,1018.0,69.0
654,0.0,49.0,68.0
655,0.0,472.0,69.0
656,0.0,17.0,68.0
657,0.0,232.0,69.0
658,0.0,80.0,69.0
659,0.0,330.0,69.0
660,0.0,179.0,69.0
661,0.0,547.0,68.0
662,0.0,267.0,69.0
663,0.0,1018.0,69.0
664,0.0,369.0,68.0
665,0.0,1018.0,69.0
666,0.0,590.0,68.0
667,0.0,1018.0,69.0
668,0.0,577.0,69.0
669,0.0,755.0,69.0
670,0.0,19.0,69.0
671,0.0,208.0,69.0
672,0.0,47.0,69.0
673,0.0,253.0,69.0
674,0.0,132.0,69.0
675,0.0,420.0,69.0
676,0.0,218.0,68.0
677,0.0,606.0,69.0
678,0.0,289.0,69.0
679,0.0,1018.0,69.0
680,0.0,357.0,69.0
681,0.0,937.0,69.0
682,0.0,351.0,69.0
683,0.0,800.0,69.0
684,0.0,355.0,69.0
685,0.0,591.0,69.0
686,0.0,363.0,68.0
687,0.0,683.0,69.0
688,0.0,399.0,69.0
689,0.0,862.0,68.0
690,0.0,437.0,68.0
691,0.0,1018.0,69.0
692,0.0,543.0,68.0
693,0.0,1018.0,68.0
694,0.0,619.0,67.0
695,0.0,1018.0,68.0
696,0.0,878.0,67.0
697,0.0,1018.0,68.0
698,0.0,562.0,67.0
699,0.0,1018.0,68.0
700,0.0,0.0,67.0
701,0.0,1018.0,68.0
702,0.0,0.0,67.0
703,0.0,536.0,67.0
704,0.0,0.0,66.0
705,0.0,0.0,66.0
706,0.0,0.0,66.0
707,0.0,188.0,67.0
708,0.0,0.0,67.0
709,0.0,910.0,67.0
710,0.0,0.0,67.0
711,0.0,1018.0,67.0
712,0.0,1018.0,67.0
713,0.0,1018.0,67.0
714,0.0,0.0,66.0
715,0.0,1018.0,67.0
716,0.0,0.0,64.0
717,0.0,0.0,66.0
718,0.0,0.0,67.0
719,0.0,0.0,68.0
720,0.0,0.0,68.0
721,0.0,0.0,68.0
722,0.0,0.0,68.0
723,0.0,0.0,67.0
724,0.0,0.0,67.0
725,0.0,0.0,66.0
726,0.0,0.0,67.0
727,0.0,0.0,68.0
728,0.0,6.0,68.0
729,0.0,109.0,68.0
730,0.0,102.0,67.0
731,0.0,202.0,67.0
732,0.0,189.0,65.0
733,0.0,466.0,67.0
734,0.0,286.0,67.0
735,0.0,354.0,67.0
736,0.0,316.0,66.0
737,0.0,430.0,68.0
738,0.0,388.0,70.0
739,0.0,509.0,70.0
740,0.0,438.0,70.0
741,0.0,493.0,68.0
742,0.0,495.0,67.0
743,0.0,1018.0,68.0
744,0.0,1018.0,70.0
745,0.0,313.0,67.0
746,0.0,203.0,67.0
747,0.0,280.0,67.0
748,0.0,239.0,67.0
749,0.0,478.0,67.0
750,0.0,303.0,68.0
751,0.0,388.0,68.0
752,0.0,351.0,68.0
753,0.0,485.0,68.0
754,0.0,395.0,68.0
755,0.0,587.0,67.0
756,0.0,432.0,65.0
757,0.0,1018.0,68.0
758,0.0,1018.0,69.0
759,0.0,0.0,69.0
760,0.0,0.0,67.0
761,0.0,0.0,68.0
762,0.0,0.0,68.0
763,0.0,0.0,67.0
764,0.0,0.0,67.0
765,0.0,97.0,66.0
766,0.0,0.0,67.0
767,0.0,0.0,67.0
768,0.0,0.0,68.0
769,0.0,85.0,69.0
770,0.0,49.0,70.0
771,0.0,186.0,69.0
772,0.0,140.0,69.0
773,0.0,204.0,67.0
774,0.0,254.0,67.0
775,0.0,262.0,70.0
776,0.0,262.0,70.0
777,0.0,396.0,70.0
778,0.0,330.0,69.0
779,0.0,354.0,68.0
780,0.0,370.0,67.0
781,0.0,1018.0,67.0
782,0.0,490.0,67.0
783,0.0,455.0,68.0
784,0.0,371.0,68.0
785,0.0,547.0,68.0
786,0.0,412.0,70.0
787,0.0,543.0,70.0
788,0.0,436.0,67.0
789,0.0,496.0,67.0
790,0.0,478.0,67.0
791,0.0,555.0,69.0
792,0.0,463.0,70.0
793,0.0,556.0,69.0
794,0.0,497.0,69.0
795,0.0,505.0,68.0
796,0.0,507.0,67.0
797,0.0,1018.0,67.0
798,0.0,1018.0,67.0
799,0.0,526.0,67.0
800,0.0,249.0,68.0
801,0.0,360.0,67.0
802,0.0,280.0,69.0
803,0.0,399.0,69.0
804,0.0,332.0,69.0
805,0.0,383.0,66.0
806,0.0,389.0,67.0
807,0.0,1018.0,69.0
808,0.0,652.0,69.0
809,0.0,247.0,68.0
810,0.0,138.0,67.0
811,0.0,236.0,67.0
812,0.0,200.0,67.0
813,0.0,580.0,68.0
814,0.0,257.0,68.0
815,0.0,334.0,68.0
816,0.0,280.0,67.0
817,0.0,440.0,70.0
818,0.0,329.0,69.0
819,0.0,573.0,69.0
820,0.0,363.0,67.0
821,0.0,1018.0,68.0
822,0.0,1018.0,70.0
823,0.0,916.0,70.0
824,0.0,0.0,68.0
825,0.0,0.0,66.0
826,0.0,0.0,67.0
827,0.0,0.0,67.0
828,0.0,0.0,67.0
829,0.0,998.0,67.0
830,0.0,131.0,67.0
831,0.0,0.0,67.0
832,0.0,0.0,68.0
833,0.0,0.0,69.0
834,0.0,0.0,69.0
835,0.0,115.0,70.0
836,0.0,50.0,70.0
837,0.0,135.0,69.0
838,0.0,136.0,67.0
839,1.0,1018.0,67.0
840,0.0,1018.0,69.0
841,0.0,0.0,67.0
842,0.0,0.0,67.0
843,0.0,713.0,68.0
844,0.0,0.0,65.0
845,0.0,0.0,64.0
846,0.0,0.0,59.0
847,0.0,0.0,59.0
848,0.0,0.0,59.0
849,0.0,0.0,59.0
850,0.0,0.0,59.0
851,0.0,0.0,59.0
852,0.0,0.0,60.0
853,0.0,0.0,60.0
854,0.0,0.0,60.0
855,0.0,0.0,60.0
856,0.0,0.0,59.0
857,0.0,13.0,59.0
858,0.0,0.0,65.0
859,0.0,253.0,65.0
860,0.0,2.0,67.0
861,0.0,262.0,67.0
862,0.0,72.0,69.0
863,0.0,204.0,69.0
864,0.0,139.0,69.0
865,0.0,254.0,69.0
866,0.0,209.0,69.0
867,0.0,389.0,67.0
868,0.0,267.0,67.0
869,0.0,1018.0,69.0
870,0.0,359.0,68.0
871,0.0,349.0,68.0
872,0.0,286.0,66.0
873,0.0,332.0,67.0
874,0.0,339.0,67.0
875,0.0,396.0,70.0
876,0.0,387.0,70.0
877,0.0,423.0,70.0
878,0.0,421.0,67.0
879,0.0,456.0,64.0
880,0.0,454.0,62.0
881,0.0,487.0,62.0
882,0.0,483.0,62.0
883,0.0,512.0,62.0
884,0.0,505.0,62.0
885,0.0,1018.0,67.0
886,0.0,1018.0,67.0
887,0.0,993.0,67.0
888,0.0,150.0,65.0
889,0.0,308.0,66.0
890,0.0,130.0,67.0
891,0.0,258.0,67.0
892,0.0,184.0,68.0
893,0.0,290.0,68.0
894,0.0,242.0,66.0
895,0.0,419.0,67.0
896,0.0,295.0,68.0
897,0.0,366.0,69.0
898,0.0,348.0,69.0
899,0.0,427.0,69.0
900,0.0,351.0,66.0
901,0.0,383.0,66.0
902,0.0,386.0,67.0
903,0.0,429.0,68.0
904,0.0,425.0,69.0
905,0.0,464.0,69.0
906,0.0,453.0,67.0
907,0.0,481.0,65.0
908,0.0,476.0,62.0
909,0.0,514.0,63.0
910,0.0,527.0,62.0
911,0.0,1018.0,68.0
912,0.0,632.0,63.0
913,0.0,661.0,64.0
914,0.0,389.0,63.0
915,0.0,488.0,67.0
916,0.0,357.0,67.0
917,0.0,748.0,68.0
918,0.0,395.0,67.0
919,0.0,560.0,67.0
920,0.0,386.0,68.0
921,0.0,458.0,69.0
922,0.0,407.0,70.0
923,0.0,444.0,69.0
924,0.0,432.0,69.0
925,0.0,555.0,67.0
926,0.0,440.0,67.0
927,0.0,467.0,68.0
928,0.0,455.0,68.0
929,0.0,483.0,68.0
930,0.0,476.0,67.0
931,0.0,503.0,64.0
932,0.0,499.0,62.0
933,0.0,548.0,62.0
934,0.0,541.0,60.0
935,0.0,1018.0,63.0
936,0.0,693.0,62.0
937,0.0,425.0,61.0
938,0.0,309.0,60.0
939,0.0,439.0,63.0
940,0.0,344.0,67.0
941,0.0,467.0,67.0
942,0.0,371.0,67.0
943,0.0,1018.0,66.0
944,0.0,597.0,66.0
945,0.0,307.0,67.0
946,0.0,180.0,67.0
947,0.0,269.0,67.0
948,0.0,242.0,69.0
949,0.0,316.0,68.0
950,0.0,308.0,68.0
951,0.0,306.0,67.0
952,0.0,304.0,67.0
953,0.0,347.0,68.0
954,0.0,350.0,69.0
955,0.0,393.0,70.0
956,0.0,391.0,70.0
957,0.0,423.0,71.0
958,0.0,414.0,68.0
959,0.0,449.0,65.0
960,0.0,442.0,64.0
961,0.0,1018.0,64.0
962,0.0,508.0,64.0
963,0.0,610.0,64.0
964,0.0,496.0,65.0
965,0.0,423.0,64.0
966,0.0,391.0,65.0
967,0.0,531.0,63.0
968,0.0,419.0,62.0
969,0.0,604.0,63.0
970,0.0,436.0,62.0
971,0.0,1018.0,61.0
972,0.0,467.0,63.0
973,0.0,1018.0,68.0
974,0.0,1018.0,69.0
975,0.0,1018.0,70.0
976,0.0,1018.0,68.0
977,0.0,0.0,66.0
978,0.0,0.0,66.0
979,0.0,0.0,67.0
980,0.0,0.0,67.0
981,0.0,0.0,63.0
982,0.0,0.0,60.0
